publication_number,title,assignee,filing_date,publication_date,patent_type
US-2026094603-A1,Long-form conversation simulator ,"Microsoft Technology Licensing, Llc",,2026-04-02,A1
EP-4523207-A1,Speculative execution of dataflow program nodes ,"Microsoft Technology Licensing, LLC",2022-05-13,2025-03-19,A1
WO-2025053937-A1,Determining ipd by adjusting the positions of displayed stimuli ,"Microsoft Technology Licensing, Llc",2023-09-06,2025-03-13,A1
KR-20260013285-A,Systems and methods for moving data between system components ,"Microsoft Technology Licensing, Llc",2023-05-30,2026-01-27,A
WO-2024173127-A1,Displaying outward-directed content on an outward-facing display of a mixed-reality device ,"Microsoft Technology Licensing, Llc",2023-02-16,2024-08-22,A1
TW-202433827-A,Distributed power units for datacenters ,"Microsoft Technology Licensing, Llc",2023-02-08,2024-08-16,A
WO-2023149952-A1,"High fidelity, real-time object body state generator with data-driven modeling ","Microsoft Technology Licensing, Llc.",2022-02-01,2023-08-10,A1
WO-2024118194-A1,Signature-based object tracking in video feed ,"Microsoft Technology Licensing, Llc",2022-11-29,2024-06-06,A1
WO-2024129519-A1,Method and system for detecting malicious applications ,"Microsoft Technology Licensing, Llc",2022-12-15,2024-06-20,A1
WO-2024173154-A1,On-orbit model orchestration of spaceborne data ,"Microsoft Technology Licensing, Llc",2023-02-17,2024-08-22,A1
WO-2024182155-A1,Directed management of interactive elements in an interactive environment utilizing machine learning ,"Microsoft Technology Licensing, Llc",2023-02-28,2024-09-06,A1
WO-2024182784-A1,Content generation for generative language models ,"Microsoft Technology Licensing, Llc",2023-03-01,2024-09-06,A1
WO-2024182785-A1,Content generation for generative language models ,"Microsoft Technology Licensing, Llc",2023-03-01,2024-09-06,A1
WO-2024205891-A1,Scalable approximate counting ,"Microsoft Technology Licensing, Llc",2023-03-30,2024-10-03,A1
WO-2025128329-A1,Distributed execution of ml-for-ran ,"Microsoft Technology Licensing, Llc",2023-12-11,2025-06-19,A1
WO-2025193307-A1,Using multimodal input and multiple lightweight models to improve query responses ,"Microsoft Technology Licensing, Llc",2024-03-13,2025-09-18,A1
WO-2026072130-A1,Long-form conversation simulator ,"Microsoft Technology Licensing, Llc",2024-09-30,2026-04-02,A1
CN-120322764-A,Software Defined Rack ,"Microsoft Technology Licensing, Llc",2022-11-09,2025-07-15,A
US-2023236543-A1,Automatic three-dimensional presentation for hybrid meetings ,"Microsoft Technology Licensing, Llc",2022-01-27,2023-07-27,A1
EP-4690673-A1,Using a native login screen to log in to an alternate system ,"Microsoft Technology Licensing, LLC",2023-04-05,2026-02-11,A1
EP-4713815-A1,Pluggable data taxonomy and processing ,"Microsoft Technology Licensing, LLC",2023-05-16,2026-03-25,A1
WO-2025038214-A1,Render camera separation adjustment ,"Microsoft Technology Licensing, Llc",2023-08-11,2025-02-20,A1
WO-2025096228-A1,Laser pulse decoding using a sensor ,"Microsoft Technology Licensing, Llc",2023-11-01,2025-05-08,A1
WO-2026043543-A1,Data backup and recovery using cache-coherent interconnect node-based non-volatile memory ,"Microsoft Technology Licensing, Llc",2024-08-22,2026-02-26,A1
US-2024329952-A1,Generating And Formatting A Flowchart From Embedded Objects In Source Code ,"Microsoft Technology Licensing, Llc",2023-03-27,2024-10-03,A1
US-2024268056-A1,Distributed power units for datacenters ,"Microsoft Technology Licensing, Llc",2023-02-08,2024-08-08,A1
US-2024329956-A1,Scalable approximate counting ,"Microsoft Technology Licensing, Llc",2023-03-30,2024-10-03,A1
US-2025200333-A1,Probing large language model hidden state values for detecting grounding errors in generation ,"Microsoft Technology Licensing, Llc",2023-12-14,2025-06-19,A1
US-2025239040-A1,Automatically determining whether an object of interest is in the center of focus ,"Microsoft Technology Licensing, Llc",2024-01-22,2025-07-24,A1
US-2025238227-A1,Automatically resolving merge conflicts in a computer system ,"Microsoft Technology Licensing, Llc",2024-01-24,2025-07-24,A1
US-2025252340-A1,Reinforcement learning using long-term user trajectory processing ,"Microsoft Technology Licensing, Llc",2024-02-02,2025-08-07,A1
US-2025267243-A1,Sensor bar for 3d navigation and range detection,"Microsoft Technology Licensing, Llc",2024-02-16,2025-08-21,A1
US-2025299207-A1,Universal entity mapping and inferencing system ,"Microsoft Technology Licensing, Llc",2024-03-19,2025-09-25,A1
US-2025307343-A1,Tensor processing unit with configurable hardware ,"Microsoft Technology Licensing, Llc",2024-03-29,2025-10-02,A1
US-2025315363-A1,Identifying bug-inducing pull requests for reported bugs ,"Microsoft Technology Licensing, Llc",2024-04-05,2025-10-09,A1
US-2025321968-A1,Deep search using large language models ,"Microsoft Technology Licensing, Llc",2024-04-12,2025-10-16,A1
US-2025365336-A1,Network adapter-based smart streaming front-end for computing device ,"Microsoft Technology Licensing, Llc",2024-05-24,2025-11-27,A1
US-2025366260-A1,Semi-continuous multiple quantum well pixel design ,"Microsoft Technology Licensing, Llc",2024-05-24,2025-11-27,A1
US-2025383955-A1,Mitigating service incidents using a scaled-down shadow environment ,"Microsoft Technology Licensing, Llc",2024-06-14,2025-12-18,A1
US-2026037804-A1,Constructing an automated telecommunications operation model ,"Microsoft Technology Licensing, Llc",2024-07-31,2026-02-05,A1
US-2026074587-A1,Power coupling devices for high-temperature superconductors ,"Microsoft Technology Licensing, Llc",2024-08-15,2026-03-12,A1
US-2026050823-A1,Encoding graph network evolutions using sequences ,"Microsoft Technology Licensing, Llc",2024-08-16,2026-02-19,A1
US-2026056944-A1,Hybrid storage of register information for an integrated circuit ,"Microsoft Technology Licensing, Llc",2024-08-21,2026-02-26,A1
US-2025291807-A1,Using multimodal input and multiple lightweight models to improve query responses ,"Microsoft Technology Licensing, Llc",2024-03-13,2025-09-18,A1
US-2026073211-A1,Altering manifolds for generative modeling ,"Microsoft Technology Licensing, Llc",2024-09-06,2026-03-12,A1
US-2026079988-A1,Systems and methods for isolated ai agents and files ,"Microsoft Technology Licensing, Llc",2024-09-19,2026-03-19,A1
WO-2024107275-A1,Adjusting memory power consumption while monitoring bit error rate ,"Microsoft Technology Licensing, Llc",2022-11-15,2024-05-23,A1
US-2025374431-A1,Circuit board assembly for vertical power delivery ,"Microsoft Technology Licensing, Llc",2024-05-31,2025-12-04,A1
EP-4592864-A1,Evaluation and optimization of natural language to database query translation ,"Microsoft Technology Licensing, LLC",2024-01-26,2025-07-30,A1
EP-4621533-A1,Tiled layer composition for remote rendering ,"Microsoft Technology Licensing, LLC",2024-03-21,2025-09-24,A1
EP-4636675-A1,Recommendation generation using heterogeneous distance function ,"Microsoft Technology Licensing, LLC",2024-04-19,2025-10-22,A1
EP-4645302-A1,Actioning classification of a telecommunications network call ,"Microsoft Technology Licensing, LLC",2024-04-29,2025-11-05,A1
EP-4645082-A1,Efficient multithreaded quantum-based scheduler with time simulation ,"Microsoft Technology Licensing, LLC",2024-04-30,2025-11-05,A1
EP-4647966-A1,Using large generative models to improve the performance of weak language models in performing complex tasks ,"Microsoft Technology Licensing, LLC",2024-05-08,2025-11-12,A1
EP-4651031-A1,Accelerated attention mechanism with parallel operations ,"Microsoft Technology Licensing, LLC",2024-05-15,2025-11-19,A1
EP-4685696-A1,Dynamically reconfigurable llm inference cluster ,"Microsoft Technology Licensing, LLC",2024-07-26,2026-01-28,A1
EP-4703884-A1,Centralized control of baseboard management controllers for a fleet of hardware devices ,"Microsoft Technology Licensing, LLC",2024-08-27,2026-03-04,A1
US-2026093928-A1,Content generation for generative language models ,"Microsoft Technology Licensing, Llc",,2026-04-02,A1
US-12455750-B2,Machine learning for predicting next best action ,"Microsoft Technology Licensing, Llc",2023-06-09,2025-10-28,B2
US-12155613-B1,Recommendations of expressive illustrations based on animation compatibility ,"Microsoft Technology Licensing, Llc",2023-09-27,2024-11-26,B1
US-12547714-B2,Leveraging publisher profile and reputation to mitigate malicious activity ,"Microsoft Technology Licensing, Llc",2023-12-06,2026-02-10,B2
US-12524544-B2,Detecting and preventing harmful generative image outputs using digital signatures ,"Microsoft Technology Licensing, Llc",2023-12-22,2026-01-13,B2
US-12417251-B2,Augmented follow probability for social networking system follow recommendations ,"Microsoft Technology Licensing, Llc",2024-01-29,2025-09-16,B2
US-12536728-B2,Shadow map based late stage reprojection ,"Microsoft Technology Licensing, Llc",2024-03-25,2026-01-27,B2
US-12487922-B2,Garbage collection lightweight dynamic tracing and analysis ,"Microsoft Technology Licensing, Llc",2024-04-19,2025-12-02,B2
US-12406695-B1,Differential phase voxel symbol determination ,"Microsoft Technology Licensing, Llc",2024-06-26,2025-09-02,B1
EP-4500294-A1,Analog multiply-and-accumulate circuit aware training ,"Microsoft Technology Licensing, LLC",2022-03-31,2025-02-05,A1
US-2025227516-A1,Telecommunications network performance signatures ,"Microsoft Technology Licensing, Llc",2024-01-10,2025-07-10,A1
WO-2026063984-A1,Optical reservoir computer ,"Microsoft Technology Licensing, Llc",2024-09-23,2026-03-26,A1
US-12586038-B2,Intelligent system and method of optimizing cross-team information flow ,"Microsoft Technology Licensing, Llc",2023-04-20,2026-03-24,B2
US-2026087124-A1,Trusted platform module generated in an isolated region of a computing system ,"Microsoft Technology Licensing, Llc",2024-09-25,2026-03-26,A1
WO-2026064010-A1,Secure key utilization in a distributed hardware security module ,"Microsoft Technology Licensing, Llc",2024-09-19,2026-03-26,A1
US-2025103949-A1,Machine-learning through hybrid compute ,"Microsoft Technology Licensing, Llc",2023-09-27,2025-03-27,A1
US-2026087256-A1,Context-based phonetic corrections for entities referenced in audio transcriptions ,"Microsoft Technology Licensing, Llc",2024-09-25,2026-03-26,A1
US-12498935-B2,Elastically managing workers of multi-worker workloads on accelerator devices ,"Microsoft Technology Licensing, Llc.",2022-01-25,2025-12-16,B2
WO-2026064001-A1,Malicious activity detection based on changes in a security graph ,"Microsoft Technology Licensing, Llc",2024-09-19,2026-03-26,A1
EP-4655722-A1,Intelligent orchestration of multimodal components ,"Microsoft Technology Licensing, LLC",2023-01-27,2025-12-03,A1
CN-120530433-A,Edge cloud image orchestration of spaceborne data ,"Microsoft Technology Licensing, Llc",2023-02-17,2025-08-22,A
US-11824953-B1,Extended status indicators for mobile device interactions ,"Microsoft Technology Licensing, Llc",2022-06-23,2023-11-21,B1
CN-120548526-A,Prioritization of on-orbit downlink of satellite-borne data ,"Microsoft Technology Licensing, Llc",2023-02-17,2025-08-26,A
US-2026003386-A1,Serialized data link with zero-cycle or short-cycle paths ,"Microsoft Technology Licensing, Llc",2024-06-26,2026-01-01,A1
US-2025306870-A1,Generating transformed code using a large language model ,"Microsoft Technology Licensing, Llc",2024-04-02,2025-10-02,A1
EP-4586066-A1,Enhanced natural user interface canvases ,"Microsoft Technology Licensing, LLC",2024-01-12,2025-07-16,A1
US-2026003388-A1,Data link receiver calibration ,"Microsoft Technology Licensing, Llc",2024-06-26,2026-01-01,A1
US-2026003390-A1,Data link transmitter calibration ,"Microsoft Technology Licensing, Llc",2024-06-26,2026-01-01,A1
US-2026005975-A1,Aggregated data link flow control ,"Microsoft Technology Licensing, Llc",2024-06-26,2026-01-01,A1
US-2025335585-A1,Automatic identification of critical assets and protective action prioritization ,"Microsoft Technology Licensing, Llc",2024-04-30,2025-10-30,A1
US-2025245442-A1,Generating causal query outcomes using deep causal machine-learning model models ,"Microsoft Technology Licensing, Llc",2024-01-25,2025-07-31,A1
US-2025240304-A1,Clique graph mining for host navigation safety ,"Microsoft Technology Licensing, Llc",2024-01-22,2025-07-24,A1
US-2023281661-A1,Probabilistic frequency capping ,Xandr Inc.,2022-03-04,2023-09-07,A1
WO-2023168019-A1,Probabilistic frequency capping ,"Microsoft Technology Licensing, Llc",2022-03-04,2023-09-07,A1
CN-121263238-A,Generating narrative game experience with player feedback ,"Microsoft Technology Licensing, Llc",2023-06-25,2026-01-02,A
US-2026067326-A1,Adaptive incident prioritization engine in a security management system ,"Microsoft Technology Licensing, Llc",2024-08-28,2026-03-05,A1
WO-2023146730-A1,Elastically managing workers of multi-worker workloads on accelerator devices ,"Microsoft Technology Licensing, Llc",2022-01-25,2023-08-03,A1
WO-2024081127-A1,Tracking three-dimensional geometric shapes ,"Microsoft Technology Licensing, Llc",2022-10-11,2024-04-18,A1
US-2026017659-A1,Tamper-resistant log verification ,"Microsoft Technology Licensing, Llc",2024-07-10,2026-01-15,A1
US-2024135240-A1,Entity selection and ranking using distribution sampling ,"Microsoft Technology Licensing, Llc",2022-10-20,2024-04-25,A1
US-2024134867-A1,Entity selection and ranking using distribution sampling ,"Microsoft Technology Licensing, Llc",2022-10-20,2024-04-25,A1
US-2026072648-A1,Generative ai-based tool for identification and resolution of lint errors ,"Microsoft Technology Licensing, Llc",2024-09-10,2026-03-12,A1
US-2026058877-A1,Determining network topology information from domain name system (dns) queries ,"Microsoft Technology Licensing, Llc",2024-08-23,2026-02-26,A1
WO-2025207225-A1,Power management engine in a semiconductor system ,"Microsoft Technology Licensing, Llc",2024-03-29,2025-10-02,A1
US-2026056815-A1,Configuration distribution health evaluation for computing resources ,"Microsoft Technology Licensing, Llc",2024-08-21,2026-02-26,A1
US-2026044366-A1,Dynamic job routing and data consolidation ,"Microsoft Technology Licensing, Llc",2024-08-08,2026-02-12,A1
US-2026030085-A1,Automatic recovery of node resource memory devices ,"Microsoft Technology Licensing, Llc",2024-07-24,2026-01-29,A1
US-2026017070-A1,Enhanced controls for the display of real-time text in calls and meetings ,"Microsoft Technology Licensing, Llc",2024-07-10,2026-01-15,A1
US-2026019286-A1,Incremental verification of tamper-resistant ledger ,"Microsoft Technology Licensing, Llc",2024-07-10,2026-01-15,A1
US-2026006085-A1,Dynamically selected bridge configurations for overlapping on-line meetings ,"Microsoft Technology Licensing, Llc",2024-06-28,2026-01-01,A1
US-2025386468-A1,Air-cooling for resource components of data center devices ,"Microsoft Technology Licensing, Llc",2024-06-14,2025-12-18,A1
WO-2025255765-A1,Generating adaptive bitrate data streaming neural network code by large language model ,"Microsoft Technology Licensing, Llc",2024-06-13,2025-12-18,A1
US-2025374080-A1,Abstraction layer for network analytics ,"Microsoft Technology Licensing, Llc",2024-05-30,2025-12-04,A1
US-2025370743-A1,Automated software package release management ,"Microsoft Technology Licensing, Llc",2024-05-29,2025-12-04,A1
US-2024160442-A1,Working context transfer across development environments ,"Microsoft Technology Licensing, Llc",2022-11-15,2024-05-16,A1
US-2024185606-A1,Accessory pairing based on captured image ,"Microsoft Technology Licensing, Llc",2022-12-01,2024-06-06,A1
CN-118302749-A,Automatic quota management for shared resources ,"Microsoft Technology Licensing, Llc",2022-09-13,2024-07-05,A
CN-118511157-A,Work implement for resilient management of multiple work implement workloads on an accelerator device ,"Microsoft Technology Licensing, Llc",2022-01-25,2024-08-16,A
CN-118891617-A,Sparsification of vectors for neural networks based on overlapping windows ,"Microsoft Technology Licensing, Llc",2022-04-14,2024-11-01,A
CN-121411816-A,Text rewriting based on application information ,"Microsoft Technology Licensing, Llc",2024-07-25,2026-01-27,A
US-2025363168-A1,Aesthetic image retrieval system and method ,"Microsoft Technology Licensing, Llc",2024-05-24,2025-11-27,A1
US-2025085792-A1,Stylus movement translation switching ,"Microsoft Technology Licensing, Llc",2022-02-09,2025-03-13,A1
WO-2023167718-A1,Pose prediction for articulated object ,"Microsoft Technology Licensing, Llc",2022-03-04,2023-09-07,A1
EP-4505359-A1,Sparsity and quantization for deep neural networks ,"Microsoft Technology Licensing, LLC",2022-04-04,2025-02-12,A1
TW-202341064-A,Sparsifying vectors for neural network models based on overlapping windows ,"Microsoft Technology Licensing, Llc",2022-04-14,2023-10-16,A
US-2026082477-A1,Testing system for computing hardware including integrated circuit emulation ,"Microsoft Technology Licensing, Llc",2024-09-13,2026-03-19,A1
WO-2024137127-A1,Interfacing with a skill store ,"Microsoft Technology Licensing, Llc",2022-12-19,2024-06-27,A1
WO-2024177914-A1,5g radio access network live migration and sharing,"Microsoft Technology Licensing, Llc",2023-02-24,2024-08-29,A1
WO-2024196569-A1,Generating captchas using generative imaging models ,"Microsoft Technology Licensing, Llc",2023-03-22,2024-09-26,A1
WO-2024228896-A1,Generating summary prompts with visual and audio insights and using summary prompts to obtain multimedia content summaries ,"Microsoft Technology Licensing, Llc",2023-05-01,2024-11-07,A1
WO-2024242825-A1,Computerized demanufacturing system ,"Microsoft Technology Licensing, Llc",2023-05-22,2024-11-28,A1
WO-2024263453-A1,Data security for machine learning systems ,"Microsoft Technology Licensing, Llc",2023-06-21,2024-12-26,A1
WO-2025024137-A1,Graph analysis and manipulation ,"Microsoft Technology Licensing, Llc",2023-07-25,2025-01-30,A1
WO-2025159833-A1,Systems and methods for mitigating third-party code vulnerabilities in ai-assisted code generation ,"Microsoft Technology Licensing, Llc",2024-01-25,2025-07-31,A1
WO-2025096209-A1,Interpreting large language models ,"Microsoft Technology Licensing, Llc",2023-11-03,2025-05-08,A1
US-2025355793-A1,Touchless device management ,"Microsoft Technology Licensing, Llc",2024-05-17,2025-11-20,A1
US-2025191082-A1,Interactive prompting for supply chains ,"Microsoft Technology Licensing, Llc",2023-12-08,2025-06-12,A1
US-2024272440-A1,Customized face tracking systems and methods ,"Microsoft Technology Licensing, Llc",2023-02-14,2024-08-15,A1
